Edad;Genero;Comunidad;curso;centro_cod;horas_uso_pantallas_cod;mom_uso_pantallas;n_freq;Aplicaciones_frecuentes;n_aplic;uso_pant;num_activ;uso_apps;uso_pant_asig;n_asign_pantallas;herra_tec_tec_ayuda_aprend;decide_uso_tec;clases_mas_gustan_tec;facil_prof_joven;participacion_clase;usar_tec_aprendo_loquegusta;eleccion_aprend
9;1;13;2;5;1;6;2;858;5;86;3;2;568;0;4;0;3;3;4;4;4
9;1;13;2;5;1;25;1;366;8;211;6;2;103;1;4;0;4;3;4;4;4
9;1;13;2;5;1;25;1;229;11;180;7;2;105;1;4;0;4;4;0;4;0
9;1;13;2;5;1;5;2;683;8;89;5;3;273;3;2;0;4;0;4;4;4
9;1;13;2;5;1;25;1;318;3;44;2;3;105;1;4;0;4;4;2;4;4
9;1;13;2;5;1;25;1;872;3;34;3;4;568;0;4;2;4;4;4;4;4
9;1;13;2;5;2;25;1;31;8;84;4;4;271;2;4;0;4;0;0;4;4
9;1;13;2;5;2;1;1;523;9;89;5;4;457;6;4;0;4;4;4;4;4
9;1;11;2;4;1;25;1;766;3;293;4;4;319;6;4;0;4;0;0;4;4
9;1;11;2;4;1;25;1;164;5;276;6;2;359;5;4;0;4;0;1;4;4
9;1;11;2;4;1;25;1;760;4;43;1;2;420;4;4;0;4;0;0;3;4
9;1;11;2;4;1;25;1;648;5;274;5;2;319;6;3;0;4;1;1;3;1
9;1;11;2;4;1;25;1;16;9;202;6;3;109;2;4;0;4;0;0;3;4
9;1;11;2;4;1;25;1;318;3;44;2;3;542;3;4;0;4;0;1;3;4
9;1;11;2;4;1;25;1;872;3;34;3;4;420;4;3;0;4;0;0;2;2
9;1;11;2;4;1;25;1;445;5;77;5;4;334;6;3;0;4;0;1;4;4
9;1;11;2;4;1;25;1;196;9;95;2;4;245;4;4;0;4;0;2;2;4
9;1;11;2;4;1;25;1;761;4;45;2;3;413;5;4;0;4;0;0;4;2
9;1;11;2;4;1;25;1;324;4;150;3;4;455;3;4;0;4;0;3;4;2
9;1;11;2;4;1;10;2;760;4;340;3;2;294;4;3;4;4;0;3;3;4
9;1;11;2;4;1;25;1;276;6;41;2;3;429;5;1;3;3;0;2;2;4
9;1;11;2;4;1;25;1;272;9;244;7;3;68;3;1;2;3;0;4;4;4
9;1;11;2;4;1;7;3;506;4;120;4;1;193;3;3;3;3;3;3;3;4
